CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,CoinName,Class
USDE,Scrypt,PoW/PoS,1098952592.6,1600000000,-0.3121107429200208,1.0295904653489785,-0.5636791129946915,UnitaryStatus Dollar,0
UTC,Scrypt,PoW/PoS,50235211.141939,100000000,-0.33556030877349524,1.0300918655800628,-0.563426149551148,UltraCoin,0
VIA,Scrypt,PoW,23150892.1679687,23000000,-0.1677137999719546,-1.1329169381915412,0.003740654329025642,ViaCoin,1
VRC,Scrypt,PoST,32021108.4136696,0,-0.3018641625356608,0.3141436863824636,-0.26089562371997443,VeriCoin,0
VTC,Lyra2REv2,PoW,51173723.8166347,84000000,-0.18798847542283548,-1.269446992257309,0.2290252680913824,Vertcoin,1
WDC,Scrypt,PoW,119606941.0,265420800,-0.16481632188438658,-1.1330224446963966,0.0037159738699582417,WorldCoin,1
XC,X11,PoW/PoS,6950831.0970606,5500000,-0.39722861551249816,1.2465465272853595,-0.5185953479167417,X11 Coin,0
XCR,Multiple,PoS,100000000.0,0,-0.24728551585197409,0.11238737806185238,0.14774417346834648,Crypti,0
XJO,SHA-256,PoW,39195739.362088,45000000,-0.14342798935631315,-1.2755113198109629,0.16084620830695123,JouleCoin,1
XST,X13,PoW/PoS,33093725.4123502,0,-0.2787781721165278,1.8098854330682381,-0.6168322696920094,StealthCoin,0
ZCC,Scrypt,PoW/PoS,147990237.978331,1000000000,-0.3279841462648633,1.0296129243067629,-0.5634600200575479,ZCC Coin,0
BCN,CryptoNight,PoW,184066828814.0,184467440735,3.8642040605169776,-2.404200553092625,0.33933850897523515,ByteCoin,1
XDN,CryptoNight,PoW,6906587610.38292,10000000000,0.46252948870797966,-2.364373823999118,0.38100324654524087,DigitalNote ,1
BURST,Shabal256,PoC,1813033920.0,2158812800,-0.009408633038356167,1.2555074595660287,-0.8164782882824487,BurstCoin,0
SJCX,Counterparty,PoS,51173144.0,500000000,-0.31671842389681787,1.4350369409545156,0.034505660629956025,StorjCoin,0
MONA,Scrypt,PoW,68194674.8711679,105120000,-0.16658115129013784,-1.1329485334560132,0.0037295497017954316,MonaCoin,1
NTRN,SHA-256,PoW/PoS,39121694.0,68000000,-0.3119892269710856,0.8875190849823842,-0.40631383948721767,Neutron,0
FAIR,Groestl,PoW/PoS,53193831.0,0,-0.3753721517613417,0.9777705318433532,-0.4428840304457183,FairCoin,0
NLG,Scrypt,PoW,415032420.0,1680000000,-0.15117619985546443,-1.1337277118881732,0.00363128423894578,Gulden,1
RBY,Scrypt,PoS,27184490.3918338,0,-0.28918003479749127,0.7783128240804559,-0.21103412628141865,RubyCoin,0
PTC,Scrypt,PoW,137517654.41397,166386000,-0.1652997320568893,-1.132960135941474,0.003713341054119168,PesetaCoin,1
KORE,X13,PoW/PoS,2022464.886973,12000000,-0.2790727108652066,1.8098681982086768,-0.6168255389959735,Kore,0
WBB,Scrypt,PoW,181919.2435974,2628000,-0.16813889069292243,-1.1329130526491864,0.003746025767091191,Wild Beast Coin,1
NOTE,Scrypt,PoS,174646113.934655,500000000,-0.2838329070607958,0.77807796191116,-0.211073609238286,Dnotes,0
FLO,Scrypt,PoW,152270664.860648,160000000,-0.1651647618256573,-1.1329515613107808,0.0037101545553384165,Flo,1
